Site,Type,Count,Begin,End,Chronology
Swingle's Sample,Aravaipa Red,25,1200,1400,0
Swingle's Sample,Belford Red,2,1300,1450,0
Swingle's Sample,"Black-on-red, Undifferentiated",1,700,1700,0
Swingle's Sample,Cliff Polychrome,20,1350,1450,1
Swingle's Sample,Gila Polychrome,9,1325,1450,1
Swingle's Sample,Gila/Tonto Polychrome,1,1325,1450,1
Swingle's Sample,"Indented Corrugated Brown Ware, Undifferentiated",12,1000,1450,0
Swingle's Sample,Maverick Mountain Black-on-red,1,1275,1325,1
Swingle's Sample,"Maverick Mountain type, Undifferentiated",1,1275,1450,1
Swingle's Sample,"Obliterated Corrugated Brown Ware, Undifferentiated",3,1100,1450,0
Swingle's Sample,Pinto/Gila Polychrome,21,1300,1450,1
Swingle's Sample,Pinto-Gila Polychrome A,3,1300,1350,1
Swingle's Sample,"Plain Brown Ware, Undifferentiated",775,400,1450,0
Swingle's Sample,"Plain Corrugated Brown Ware, Undifferentiated",1,1000,1450,0
Swingle's Sample,"Red Ware type, Undifferentiated",49,700,1700,0
Swingle's Sample,"Roosevelt Polychrome, Undifferentiated",273,1280,1450,1
Swingle's Sample,San Carlos Red,14,1200,1400,0
Swingle's Sample,San Carlos Red-on-brown,5,1250,1450,1
Swingle's Sample,Tonto Polychrome,2,1350,1450,1
Swingle's Sample,Tucson Black-on-red,1,1275,1450,1
Bajada Site,Aravaipa Red,18,1200,1400,0
Bajada Site,"Brown Corrugated Ware, Undifferentiated",1,800,1450,0
Bajada Site,Cliff Polychrome,3,1350,1450,1
Bajada Site,"Early Middle Gila Red-on-brown variant, Undifferentiated",1,700,1150,0
Bajada Site,Gila Polychrome,5,1325,1450,1
Bajada Site,Maverick Mountain Black-on-red,2,1275,1325,1
Bajada Site,Mogollon Zoned Corrugated Brown Ware,1,1000,1400,0
Bajada Site,Pinto/Gila Polychrome,2,1300,1450,1
Bajada Site,"Plain Brown Ware, Undifferentiated",152,400,1450,0
Bajada Site,"Red Ware type, Undifferentiated",35,700,1700,0
Bajada Site,"Roosevelt Black-on-red, Undifferentiated",1,1275,1375,1
Bajada Site,"Roosevelt Polychrome, Undifferentiated",56,1280,1450,1
Bajada Site,Tonto Polychrome,2,1350,1450,1
Buzan,Aravaipa Red,95,1200,1400,0
Buzan,"Black-on-red, Undifferentiated",3,700,1700,0
Buzan,"Brown Corrugated Ware, Undifferentiated",12,800,1450,0
Buzan,Gila Butte/Santa Cruz/Sacaton Red-on-buff,1,750,1150,1
Buzan,"Indented Corrugated Brown Ware, Undifferentiated",13,1000,1450,0
Buzan,Maverick Mountain Black-on-red,1,1275,1325,1
Buzan,"Obliterated Corrugated Brown Ware, Undifferentiated",25,1100,1450,0
Buzan,Pinto/Gila Polychrome,1,1300,1450,1
Buzan,Pinto-Gila Polychrome A,2,1300,1350,1
Buzan,"Plain Brown Ware, Undifferentiated",685,400,1450,0
Buzan,"Plain Corrugated Brown Ware, Undifferentiated",4,1000,1450,0
Buzan,"Red Ware type, Undifferentiated",14,700,1700,0
Buzan,"Red-on-brown, Undifferentiated",1,700,1450,0
Buzan,Rincon Red-on-brown,1,950,1150,1
Buzan,"Roosevelt Polychrome, Undifferentiated",9,1280,1450,1
Buzan,San Carlos Red,30,1200,1400,0
Buzan,San Carlos Red-on-brown,9,1250,1450,1
Buzan,Tanque Verde Red-on-brown,3,1150,1350,1
Buzan,Tucson Black-on-red,1,1275,1450,1
Buzan,"White Mountain type, Type Undifferentiated; Early",1,1000,1300,0
Ash Terrace,Aravaipa Red,539,1200,1400,0
Ash Terrace,"Brown Corrugated Ware, Undifferentiated",7,800,1450,0
Ash Terrace,Cliff Polychrome,6,1350,1450,1
Ash Terrace,Gila Butte/Santa Cruz/Sacaton Red-on-buff,2,750,1150,1
Ash Terrace,Gila Polychrome,4,1325,1450,1
Ash Terrace,"Indented Corrugated Brown Ware, Undifferentiated",5,1000,1450,0
Ash Terrace,"Late Middle Gila Red-on-brown variant, Undifferentiated",5,1150,1350,0
Ash Terrace,"Matsaki Buff Ware type, Undifferentiated",1,1400,1680,1
Ash Terrace,Maverick Mountain Black-on-red,1,1275,1325,1
Ash Terrace,"Maverick Mountain type, Undifferentiated",1,1275,1450,1
Ash Terrace,Pinto Polychrome,1,1280,1330,1
Ash Terrace,Pinto/Gila Polychrome,12,1300,1450,1
Ash Terrace,"Plain Brown Ware, Undifferentiated",1514,400,1450,0
Ash Terrace,"Plain Corrugated Brown Ware, Undifferentiated",4,1000,1450,0
Ash Terrace,"Red Ware type, Undifferentiated",3,700,1700,0
Ash Terrace,"Red-on-brown, Undifferentiated",2,700,1450,0
Ash Terrace,Reserve/Tularosa Black-on-white,1,1050,1300,1
Ash Terrace,Rincon/Tanque Verde Red-on-brown,2,950,1350,1
Ash Terrace,"Roosevelt Polychrome, Undifferentiated",77,1280,1450,1
Ash Terrace,Salado Red,1,1150,1450,0
Ash Terrace,San Carlos Red,64,1200,1400,0
Ash Terrace,San Carlos Red-on-brown,17,1250,1450,1
Ash Terrace,Tanque Verde Red-on-brown,3,1150,1350,1
Ash Terrace,Tonto Polychrome,2,1350,1450,1
Ash Terrace,Tucson Polychrome,1,1275,1450,1
Lost Mound,Aravaipa Red,2783,1200,1400,0
Lost Mound,Belford Red,1,1300,1450,0
Lost Mound,"Brown Corrugated Ware, Undifferentiated",47,800,1450,0
Lost Mound,"Cibola White Ware, Undifferentiated",11,550,1325,0
Lost Mound,"Clapboard Corrugated Brown Ware, Undifferentiated",3,1000,1450,0
Lost Mound,Cliff Polychrome,7,1350,1450,1
Lost Mound,Gila Butte/Santa Cruz/Sacaton Red-on-buff,1,750,1150,1
Lost Mound,Gila Polychrome,6,1325,1450,1
